Year,Fatalities,Injured persons,Accidents,Sales,Number in use
1987,5,156,376,29000,92756
1988,20,254,650,48000,126881
1989,20,402,844,64000,178510
1990,28,532,1162,72000,241376
1991,26,708,1513,68000,305915
1992,34,730,1650,79000,372283
1993,35,915,2236,107000,454545
1994,56,1338,3002,142000,600000
1995,68,1617,3986,200000,760000
1996,57,1837,4099,191000,900000
1997,84,1812,4070,176000,1000000
1998,78,1743,3607,130000,1180000
1999,66,1614,3374,106000,1200000
2000,68,1580,3268,92000,1230000
2001,50,1424,2562,80900,1220000
2002,71,1362,2225,79300,1220000
2003,57,1228,1994,80600,1170000
2004,56,952,1664,79500,1250000
2005,65,1007,1692,80200,1230000
2006,68,919,1631,82200,1190000
2007,67,982,1655,79900,1190000
2008,45,920,1459,62600,1240000
2009,42,878,1332,44500,1330000
2010,38,776,1221,41600,1270000
2011,44,764,1158,42900,1270000
2012,58,721,1111,38500,1250000
2013,36,601,954,39400,1270000
2014,34,592,891,47900,1200000
2015,33,623,1023,54900,
2016,46,675,1072,59000,
2017,46,624,1028,,
2018,42,634,1055,69000,
2019,46,614,1062,73000,
