Date,Open,High,Low,Close
1/1/21,28965,29650,28754,29259
1/2/21,29243,33219,29050,31690
1/3/21,31714,34524,31494,33581
1/4/21,33581,33649,28258,31027
1/5/21,31029,34221,29991,33788
1/6/21,33788,36452,33478,35848
1/7/21,35934,40358,35806,39596
1/8/21,39596,41958,36722,39927
1/9/21,39927,41401,38775,40769
1/10/21,40802,41423,35193,37984
1/11/21,37984,38931,30323,34184
1/12/21,34088,36612,32585,34766
1/13/21,34736,37358,32466,37248
1/14/21,37248,40030,36799,38863
1/15/21,38757,39673,34446,36324
1/16/21,36324,37938,35624,35785
1/17/21,35935,36828,33928,36530
1/18/21,36530,37433,34841,36255
1/19/21,36252,37843,36170,36494
1/20/21,36494,36788,33487,34892
1/21/21,34919,35664,31048,31275
1/22/21,31275,33842,28898,33375
1/23/21,33375,33642,31471,32340
1/24/21,32399,33069,31012,31934
1/25/21,31934,34860,31731,32643
1/26/21,32681,32812,30921,31993
1/27/21,31993,32879,29288,31030
1/28/21,30941,33286,29970,33274
1/29/21,33274,38641,32002,34715
1/30/21,34642,35344,32880,34649
1/31/21,34649,34789,32237,32626
2/1/21,32608,34698,32397,33667
2/2/21,33667,35982,33470,35686
2/3/21,35710,37450,35473,37284
2/4/21,37284,38725,36281,37712
2/5/21,37687,38325,36642,37853
2/6/21,37853,40972,37714,40103
2/7/21,40085,40481,37422,38610
2/8/21,38610,44797,38085,44797
2/9/21,44692,48219,44356,47357
2/10/21,47357,47357,43783,45039
2/11/21,45050,48593,44090,46943
2/12/21,46943,48842,46438,47853
2/13/21,47962,48143,46342,47210
2/14/21,47210,49698,46954,48921
2/15/21,48840,49277,45944,48183
2/16/21,48183,50513,47186,48642
2/17/21,48607,52619,48590,52333
2/18/21,52333,52524,51023,52059
2/19/21,52051,56211,50880,55493
2/20/21,55493,57485,55101,56501
2/21/21,56523,58315,54040,57332
2/22/21,57332,57616,48034,54919
2/23/21,54919,55032,45212,48016
2/24/21,48084,51337,47039,48720
2/25/21,48720,52054,48119,48199
2/26/21,48199,48821,44246,45621
2/27/21,45680,48321,45118,46844
2/28/21,46844,46859,43197,45255
3/1/21,45254,49412,44970,48844
3/2/21,48844,50200,47144,47477
3/3/21,47466,52564,47422,50952
3/4/21,50952,51777,47555,47924
3/5/21,47917,49442,46472,49138
3/6/21,49138,49391,47147,48583
3/7/21,48592,51343,48552,50104
3/8/21,50104,51949,49368,51896
3/9/21,51883,54818,51448,54313
3/10/21,54313,57357,53235,56932
3/11/21,56954,57918,54416,57721
3/12/21,57721,58118,55160,56981
3/13/21,56990,61732,56144,61002
3/14/21,61002,61674,59348,60173
3/15/21,60259,60738,55030,56398
3/16/21,56398,56952,53311,56379
3/17/21,56392,58197,54298,57834
3/18/21,57706,60040,57145,57533
3/19/21,57533,59436,56303,58426
3/20/21,58404,59909,57890,58466
3/21/21,58466,58792,55578,57792
3/22/21,57788,58373,54316,54610
3/23/21,54610,55816,53100,54346
3/24/21,54445,57159,53294,54175
3/25/21,54175,54175,50485,51989
3/26/21,51989,54262,51309,54014
3/27/21,54014,56254,53986,55916
3/28/21,55909,56616,54740,54863
3/29/21,54863,58335,54830,57176
3/30/21,57250,59408,57078,58671
3/31/21,58671,59831,57054,58932
4/1/21,58932,59441,58021,58855
4/2/21,58862,60118,58526,58655
4/3/21,58655,59797,57848,58063
4/4/21,58038,58463,56504,58030
4/5/21,58030,59231,56886,58810
4/6/21,58800,59469,57391,58244
4/7/21,58244,58624,55494,56157
4/8/21,56221,58134,55752,57681
4/9/21,57677,58879,57473,58354
4/10/21,58354,61197,57876,58621
4/11/21,58606,60649,58599,59607
