Date,Open,High,Low,Close
1/1/21,0.0047,0.0058,0.0046,0.0057
1/2/21,0.0058,0.0143,0.0056,0.0106
1/3/21,0.0105,0.0139,0.0091,0.0098
1/4/21,0.0098,0.0115,0.0072,0.0098
1/5/21,0.0098,0.0103,0.0088,0.01
1/6/21,0.01,0.0111,0.0096,0.0105
1/7/21,0.0105,0.0106,0.0093,0.0098
1/8/21,0.0098,0.0103,0.0075,0.0098
1/9/21,0.0098,0.0108,0.0097,0.0102
1/10/21,0.0103,0.0109,0.0089,0.0099
1/11/21,0.0098,0.0098,0.0067,0.0088
1/12/21,0.0088,0.0091,0.0078,0.0081
1/13/21,0.0081,0.0088,0.0077,0.0087
1/14/21,0.0087,0.0101,0.0083,0.0094
1/15/21,0.0094,0.0098,0.0083,0.0094
1/16/21,0.0094,0.0096,0.0091,0.0093
1/17/21,0.0092,0.0094,0.0088,0.0091
1/18/21,0.0091,0.0093,0.0089,0.0092
1/19/21,0.0092,0.0097,0.009,0.0091
1/20/21,0.009,0.0091,0.0085,0.009
1/21/21,0.0091,0.0091,0.008,0.0081
1/22/21,0.0081,0.0088,0.0076,0.0085
1/23/21,0.0085,0.0088,0.0084,0.0086
1/24/21,0.0085,0.009,0.0085,0.0087
1/25/21,0.0087,0.0089,0.0082,0.0084
1/26/21,0.0083,0.0085,0.008,0.0083
1/27/21,0.0083,0.0083,0.0073,0.0075
1/28/21,0.0075,0.04,0.0073,0.0368
1/29/21,0.0367,0.088,0.031,0.0458
1/30/21,0.0457,0.0497,0.0222,0.0283
1/31/21,0.0283,0.0489,0.0268,0.037
2/1/21,0.0369,0.0439,0.0329,0.0348
2/2/21,0.0348,0.0353,0.0288,0.0313
2/3/21,0.0314,0.04,0.031,0.0374
2/4/21,0.0373,0.0596,0.0359,0.053
2/5/21,0.053,0.055,0.0425,0.0469
2/6/21,0.0468,0.059,0.0445,0.0577
2/7/21,0.0577,0.088,0.053,0.078
2/8/21,0.078,0.0856,0.0625,0.0789
2/9/21,0.0789,0.0838,0.0617,0.0701
2/10/21,0.0702,0.0814,0.068,0.0727
2/11/21,0.0726,0.0752,0.068,0.0697
2/12/21,0.0697,0.0732,0.0608,0.07
2/13/21,0.07,0.0719,0.0657,0.0663
